open_time,open_price,high_price,low_price,close_price,volume,turnover
1713907800000,66427.3,66448,66345,66345.1,164.295,10910764.1178
1713908100000,66345.1,66362.7,66286.5,66310,110.385,7321081.8023
1713908400000,66310,66317.2,66251.3,66276.4,96.818,6417692.9082
1713908700000,66276.4,66328.2,66259,66319.5,60.081,3982651.6921
1713909000000,66319.5,66319.6,66218,66226.5,70.498,4671655.1481
1713909300000,66226.5,66366.9,66226.5,66326,78.482,5203398.9122
1713909600000,66326,66389.9,66250.6,66374.5,125.989,8356380.3914
1713909900000,66374.5,66413.2,66331.4,66354.2,132.243,8778524.9475
1713910200000,66354.2,66415.9,66354.1,66398.2,54.338,3607435.3032
1713910500000,66398.2,66430,66378.2,66429.9,79.065,5250558.1744
1713910800000,66429.9,66430,66352,66352.1,62.821,4170897.0553
1713911100000,66352.1,66367,66352,66364.6,36.743,2438147.1354
1713911400000,66364.6,66432.7,66364.6,66377.9,136.858,9088662.9752
1713911700000,66377.9,66419.1,66359.8,66391.9,45.012,2988600.785
1713912000000,66391.9,66424,66380.9,66419.5,43.632,2897386.2756
1713912300000,66419.5,66422.4,66356.2,66384.1,65.91,4375718.6434
1713912600000,66384.1,66384.1,66261.6,66261.6,128.025,8489200.8226
1713912900000,66261.6,66344.9,66251,66338.7,96.79,6416308.4483
1713913200000,66338.7,66338.7,66131.2,66154.1,296.213,19606354.6943
1713913500000,66154.1,66227.4,66091.8,66211,243.242,16087838.2303
1713913800000,66211,66259.4,66201,66219.8,87.211,5776083.5444
1713914100000,66219.8,66315,66181.4,66311.3,116.822,7741815.0253
1713914400000,66311.3,66313.5,66255,66308.5,64.238,4258050.5894
1713914700000,66308.5,66360.6,66290.8,66326.6,104.673,6941963.9352
1713915000000,66326.6,66396.5,66326.6,66358.4,131.833,8750362.984
1713915300000,66358.4,66419.1,66358.4,66399.2,77.429,5140995.1353
1713915600000,66399.2,66414.5,66370,66393.3,70.438,4676753.1584
1713915900000,66393.3,66394.5,66336,66360.6,83.371,5532881.6189
1713916200000,66360.6,66389.1,66360.6,66365,81.362,5400437.418
1713916500000,66365,66400,66360,66397.8,47.758,3170102.349
1713916800000,66397.8,66562.5,66369.7,66521.3,694.124,46164138.4952
1713917100000,66521.3,66647.7,66521.3,66557.2,373.199,24854465.5454
1713917400000,66557.2,66594.4,66511.7,66579.3,155.294,10335932.7427
1713917700000,66579.3,66579.3,66418.4,66418.4,127.218,8459407.1656
1713918000000,66418.4,66525.7,66418,66444.7,183.935,12227330.5432
1713918300000,66444.7,66491.7,66430.4,66485,154.184,10247116.8579
1713918600000,66485,66543.2,66438.7,66504.7,80.613,5360673.2546
1713918900000,66504.7,66665,66504.7,66600.1,142.628,9499377.0093
1713919200000,66600.1,66714,66568.6,66700,249.101,16603134.3389
1713919500000,66700,66724.8,66660,66721.1,140.139,9347736.8671
1713919800000,66721.1,66721.1,66590.1,66676,350.913,23394912.6831
1713920100000,66676,66730,66659.8,66730,100.223,6685138.7042
1713920400000,66730,66855,66705.8,66824,455.214,30401123.2963
1713920700000,66824,66824.1,66733.8,66739.4,240.82,16082933.8213
1713921000000,66739.4,66761.8,66666,66688,295.103,19685872.7758
1713921300000,66688,66694.6,66666,66687,165.972,11067301.3938
1713921600000,66687,66721.9,66675.6,66710.3,71.173,4746258.6587
1713921900000,66710.3,66792.8,66710,66774.6,205.549,13723190.6433
1713922200000,66774.6,66802,66712,66730.1,92.933,6203555.2346
1713922500000,66730.1,66790,66678.3,66759.9,148.797,9929226.4593
1713922800000,66759.9,66879.8,66759.9,66859.9,330.428,22085331.9111
1713923100000,66859.9,66887,66792.4,66804.9,193.887,12958590.5225
1713923400000,66804.9,66805,66760,66760,80.48,5374866.8439
1713923700000,66760,66778.4,66712.3,66715.5,147.795,9864650.2219
1713924000000,66715.5,66753.9,66640.1,66651.5,301.727,20120618.3236
1713924300000,66651.5,66694,66580,66693.9,209.15,13937572.4611
1713924600000,66693.9,66712.4,66656.3,66694,89.016,5936181.6939
1713924900000,66694,66716,66610.3,66622.2,97.583,6505774.9877
1713925200000,66622.2,66667.8,66579.1,66596.2,127.486,8492394.4318
1713925500000,66596.2,66624,66535.9,66553,139.186,9267749.8814
1713925800000,66553,66569.3,66430.6,66566.5,456.919,30384503.2126
1713926100000,66566.5,66622.4,66540.9,66610.9,94.443,6287061.2048
1713926400000,66610.9,66639.5,66583.1,66628.3,80.116,5337113.8426
